# part, Chassis
# scenario, Step 4: Corner 2-3-5 @ 300.000m
# drop_mode, LTL
# drop_direction, Corner 2-3-5
# drop_height_m, 300.0000
# dims_mm, 1892, 1082, 35
# C1, 946.0, 541.0, 17.4
# C2, 946.0, -541.0, 17.4
# C3, -946.0, -541.0, 17.4
# C4, -946.0, 541.0, 17.4
# C5, 946.0, 541.0, -17.4
# C6, 946.0, -541.0, -17.4
# C7, -946.0, -541.0, -17.4
# C8, -946.0, 541.0, -17.4
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
76,0.355000,-0.943813,0.057649,301.132321,-0.943824,0.022843,301.134881,-0.009137,0.097348,301.675946,-0.009147,0.062542,301.678505,0.009307,-0.062500,299.502355,0.009297,-0.097306,299.504915,0.943984,-0.022801,300.045980,0.943974,-0.057607,300.048540
77,0.357000,-0.943808,0.057642,301.125650,-0.943818,0.022836,301.128209,-0.009127,0.097319,301.669270,-0.009138,0.062513,301.671829,0.009302,-0.062470,299.495675,0.009291,-0.097276,299.498234,0.943982,-0.022793,300.039295,0.943971,-0.057599,300.041853
78,0.359000,-0.943802,0.057636,301.118945,-0.943812,0.022830,301.121503,-0.009117,0.097290,301.662560,-0.009128,0.062484,301.665118,0.009296,-0.062439,299.488960,0.009285,-0.097245,299.491518,0.943980,-0.022785,300.032575,0.943969,-0.057591,300.035132
79,0.361000,-0.943795,0.057629,301.112206,-0.943807,0.022823,301.114763,-0.009107,0.097260,301.655816,-0.009118,0.062454,301.658372,0.009289,-0.062408,299.482211,0.009278,-0.097214,299.484768,0.943978,-0.022777,300.025820,0.943967,-0.057583,300.028377
80,0.363000,-0.943789,0.057622,301.105433,-0.943801,0.022816,301.107989,-0.009097,0.097229,301.649037,-0.009108,0.062423,301.651593,0.009283,-0.062376,299.475428,0.009272,-0.097183,299.477984,0.943976,-0.022769,300.019032,0.943964,-0.057575,300.021587
81,0.365000,-0.943783,0.057615,301.098626,-0.943795,0.022809,301.101180,-0.009086,0.097198,301.642224,-0.009098,0.062392,301.644779,0.009277,-0.062344,299.468610,0.009265,-0.097150,299.471165,0.943974,-0.022761,300.012209,0.943962,-0.057567,300.014763
82,0.367000,-0.943777,0.057608,301.091784,-0.943789,0.022802,301.094338,-0.009076,0.097167,301.635377,-0.009088,0.062360,301.637931,0.009271,-0.062311,299.461759,0.009259,-0.097118,299.464312,0.943972,-0.022752,300.005351,0.943960,-0.057559,300.007905
83,0.369000,-0.943770,0.057601,301.084909,-0.943782,0.022794,301.087462,-0.009065,0.097135,301.628496,-0.009077,0.062328,301.631049,0.009264,-0.062278,299.454873,0.009252,-0.097084,299.457425,0.943970,-0.022744,299.998460,0.943957,-0.057550,300.001012
84,0.371000,-0.943764,0.057594,301.078000,-0.943776,0.022787,301.080551,-0.009054,0.097102,301.621581,-0.009067,0.062296,301.624133,0.009258,-0.062244,299.447953,0.009245,-0.097051,299.450504,0.943967,-0.022735,299.991534,0.943955,-0.057542,299.994086
85,0.373000,-0.943757,0.057586,301.071056,-0.943770,0.022779,301.073607,-0.009043,0.097069,301.614632,-0.009056,0.062263,301.617183,0.009251,-0.062210,299.440998,0.009238,-0.097016,299.443549,0.943965,-0.022726,299.984574,0.943952,-0.057533,299.987125
86,0.375000,-0.943750,0.057579,301.064079,-0.943763,0.022772,301.066629,-0.009031,0.097036,301.607649,-0.009045,0.062229,301.610199,0.009244,-0.062175,299.434010,0.009231,-0.096981,299.436560,0.943963,-0.022717,299.977580,0.943950,-0.057524,299.980130
87,0.377000,-0.943743,0.057571,301.057068,-0.943757,0.022764,301.059617,-0.009020,0.097002,301.600632,-0.009034,0.062195,301.603181,0.009237,-0.062139,299.426988,0.009224,-0.096946,299.429536,0.943961,-0.022708,299.970552,0.943947,-0.057515,299.973100
