# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
55,0.109000,-0.800001,-0.600000,0.901955,-0.799999,0.600000,0.901979,0.800001,0.599998,0.901979,0.799999,-0.600002,0.901955,-0.800001,-0.599997,0.781955,-0.799999,0.600003,0.781979,0.800001,0.600000,0.781979,0.799999,-0.600000,0.781955
56,0.111000,-0.800001,-0.600000,0.899836,-0.799999,0.600000,0.899861,0.800001,0.599997,0.899862,0.799999,-0.600003,0.899836,-0.800001,-0.599997,0.779836,-0.799999,0.600003,0.779861,0.800001,0.600000,0.779862,0.799999,-0.600000,0.779836
57,0.113000,-0.800001,-0.600000,0.897679,-0.799999,0.600000,0.897707,0.800001,0.599997,0.897707,0.799999,-0.600003,0.897680,-0.800001,-0.599997,0.777679,-0.799999,0.600003,0.777707,0.800001,0.600000,0.777707,0.799999,-0.600000,0.777680
58,0.115000,-0.800001,-0.600000,0.895486,-0.799999,0.600000,0.895516,0.800001,0.599997,0.895516,0.799999,-0.600003,0.895487,-0.800001,-0.599997,0.775486,-0.799999,0.600003,0.775516,0.800001,0.600000,0.775516,0.799999,-0.600000,0.775487
59,0.117000,-0.800001,-0.600000,0.893256,-0.799999,0.600000,0.893287,0.800001,0.599997,0.893288,0.799999,-0.600003,0.893256,-0.800001,-0.599997,0.773256,-0.799999,0.600003,0.773287,0.800001,0.600000,0.773288,0.799999,-0.600000,0.773256
60,0.119000,-0.800001,-0.600000,0.890988,-0.799999,0.600000,0.891022,0.800001,0.599997,0.891023,0.799999,-0.600003,0.890989,-0.800001,-0.599997,0.770988,-0.799999,0.600003,0.771022,0.800001,0.600000,0.771023,0.799999,-0.600000,0.770989
61,0.121000,-0.800001,-0.600000,0.888685,-0.799999,0.600000,0.888721,0.800001,0.599997,0.888722,0.799999,-0.600003,0.888686,-0.800001,-0.599997,0.768685,-0.799999,0.600003,0.768721,0.800001,0.600001,0.768722,0.799999,-0.599999,0.768686
62,0.123000,-0.800001,-0.600000,0.886345,-0.799999,0.600000,0.886384,0.800001,0.599997,0.886385,0.799999,-0.600003,0.886346,-0.800001,-0.599996,0.766345,-0.799999,0.600004,0.766384,0.800001,0.600001,0.766385,0.799999,-0.599999,0.766346
63,0.125000,-0.800001,-0.600000,0.883968,-0.799999,0.600000,0.884009,0.800001,0.599997,0.884010,0.799999,-0.600003,0.883969,-0.800001,-0.599996,0.763968,-0.799999,0.600004,0.764009,0.800001,0.600001,0.764010,0.799999,-0.599999,0.763969
64,0.127000,-0.800001,-0.600001,0.881554,-0.799999,0.599999,0.881598,0.800001,0.599997,0.881599,0.799999,-0.600003,0.881555,-0.800001,-0.599996,0.761554,-0.799999,0.600004,0.761598,0.800001,0.600001,0.761599,0.799999,-0.599999,0.761555
65,0.129000,-0.800001,-0.600001,0.879103,-0.799999,0.599999,0.879149,0.800001,0.599997,0.879151,0.799999,-0.600003,0.879105,-0.800001,-0.599996,0.759103,-0.799999,0.600004,0.759149,0.800001,0.600001,0.759151,0.799999,-0.599999,0.759105
66,0.131000,-0.800001,-0.600001,0.876615,-0.799999,0.599999,0.876664,0.800001,0.599996,0.876666,0.799999,-0.600004,0.876617,-0.800001,-0.599996,0.756615,-0.799999,0.600004,0.756664,0.800001,0.600001,0.756666,0.799999,-0.599999,0.756617
67,0.133000,-0.800001,-0.600001,0.874090,-0.799999,0.599999,0.874143,0.800001,0.599996,0.874144,0.799999,-0.600004,0.874092,-0.800001,-0.599996,0.754090,-0.799999,0.600004,0.754143,0.800001,0.600001,0.754144,0.799999,-0.599999,0.754092
68,0.135000,-0.800001,-0.600001,0.871529,-0.799999,0.599999,0.871584,0.800001,0.599996,0.871587,0.799999,-0.600004,0.871531,-0.800001,-0.599996,0.751529,-0.799999,0.600004,0.751584,0.800001,0.600002,0.751587,0.799999,-0.599998,0.751531
69,0.137000,-0.800001,-0.600001,0.868931,-0.799999,0.599999,0.868990,0.800001,0.599996,0.868992,0.799999,-0.600004,0.868933,-0.800001,-0.599995,0.748931,-0.799999,0.600005,0.748990,0.800001,0.600002,0.748992,0.799999,-0.599998,0.748933
70,0.139000,-0.800001,-0.600001,0.866297,-0.799999,0.599999,0.866359,0.800001,0.599996,0.866361,0.799999,-0.600004,0.866299,-0.800001,-0.599995,0.746297,-0.799999,0.600005,0.746359,0.800001,0.600002,0.746361,0.799999,-0.599998,0.746299
71,0.141000,-0.800001,-0.600002,0.863626,-0.799999,0.599998,0.863691,0.800001,0.599996,0.863694,0.799999,-0.600004,0.863629,-0.800001,-0.599995,0.743626,-0.799999,0.600005,0.743691,0.800001,0.600002,0.743694,0.799999,-0.599998,0.743629
72,0.143000,-0.800001,-0.600002,0.860918,-0.799999,0.599998,0.860988,0.800001,0.599996,0.860991,0.799999,-0.600004,0.860922,-0.800001,-0.599995,0.740918,-0.799999,0.600005,0.740988,0.800001,0.600002,0.740991,0.799999,-0.599998,0.740922
73,0.145000,-0.800001,-0.600002,0.858175,-0.799999,0.599998,0.858248,0.800001,0.599995,0.858252,0.799999,-0.600005,0.858179,-0.800001,-0.599995,0.738175,-0.799999,0.600005,0.738248,0.800001,0.600003,0.738252,0.799999,-0.599997,0.738179
74,0.147000,-0.800001,-0.600002,0.855396,-0.799999,0.599998,0.855473,0.800001,0.599995,0.855477,0.799999,-0.600005,0.855399,-0.800001,-0.599994,0.735396,-0.799999,0.600006,0.735473,0.800001,0.600003,0.735477,0.799999,-0.599997,0.735399
75,0.149000,-0.800001,-0.600002,0.852580,-0.799999,0.599998,0.852661,0.800001,0.599995,0.852665,0.799999,-0.600005,0.852584,-0.800001,-0.599994,0.732580,-0.799999,0.600006,0.732661,0.800001,0.600003,0.732665,0.799999,-0.599997,0.732584
76,0.151000,-0.800001,-0.600002,0.849728,-0.799999,0.599997,0.849814,0.800001,0.599995,0.849819,0.799999,-0.600005,0.849733,-0.800001,-0.599994,0.729728,-0.799999,0.600006,0.729814,0.800001,0.600003,0.729819,0.799999,-0.599997,0.729733
77,0.153000,-0.800001,-0.600003,0.846841,-0.799999,0.599997,0.846931,0.800001,0.599995,0.846936,0.799999,-0.600005,0.846846,-0.800001,-0.599994,0.726841,-0.799999,0.600006,0.726931,0.800001,0.600004,0.726936,0.799999,-0.599996,0.726846
78,0.155000,-0.800001,-0.600003,0.843918,-0.799999,0.599997,0.844013,0.800001,0.599994,0.844018,0.799999,-0.600006,0.843923,-0.800001,-0.599993,0.723918,-0.799999,0.600007,0.724013,0.800001,0.600004,0.724018,0.799999,-0.599996,0.723923
79,0.157000,-0.800001,-0.600003,0.840959,-0.799999,0.599997,0.841059,0.800001,0.599994,0.841064,0.799999,-0.600006,0.840965,-0.800001,-0.599993,0.720959,-0.799999,0.600007,0.721059,0.800001,0.600004,0.721064,0.799999,-0.599996,0.720965
80,0.159000,-0.800001,-0.600003,0.837966,-0.799999,0.599997,0.838070,0.800001,0.599994,0.838076,0.799999,-0.600006,0.837971,-0.800001,-0.599993,0.717966,-0.799999,0.600007,0.718070,0.800001,0.600004,0.718076,0.799999,-0.599996,0.717971
