# chassis, 1600, 1200, 120
# start time, 1.2
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
52,0.103000,0.921443,-0.088763,1.058203,-0.114974,-0.133903,0.455041,-0.921438,-0.030903,1.833086,0.114979,0.014236,2.436247,0.921438,0.030903,1.049256,-0.114979,-0.014237,0.446094,-0.921443,0.088763,1.824139,0.114974,0.133902,2.427300
53,0.105000,0.921443,-0.088763,1.056160,-0.114974,-0.133902,0.452999,-0.921438,-0.030903,1.831044,0.114979,0.014236,2.434205,0.921438,0.030903,1.047213,-0.114979,-0.014236,0.444052,-0.921443,0.088763,1.822097,0.114974,0.133902,2.425258
54,0.107000,0.921442,-0.088763,1.054079,-0.114974,-0.133902,0.450918,-0.921438,-0.030903,1.828963,0.114979,0.014235,2.432124,0.921438,0.030903,1.045132,-0.114979,-0.014236,0.441971,-0.921442,0.088763,1.820016,0.114974,0.133901,2.423177
55,0.109000,0.921442,-0.088763,1.051959,-0.114974,-0.133901,0.448798,-0.921438,-0.030903,1.826843,0.114979,0.014234,2.430004,0.921438,0.030903,1.043012,-0.114979,-0.014235,0.439851,-0.921442,0.088763,1.817896,0.114974,0.133900,2.421057
56,0.111000,0.921442,-0.088763,1.049800,-0.114975,-0.133901,0.446639,-0.921437,-0.030903,1.824684,0.114979,0.014234,2.427845,0.921438,0.030903,1.040853,-0.114979,-0.014235,0.437692,-0.921442,0.088763,1.815738,0.114975,0.133900,2.418898
57,0.113000,0.921442,-0.088764,1.047602,-0.114975,-0.133900,0.444441,-0.921437,-0.030904,1.822487,0.114980,0.014233,2.425648,0.921437,0.030903,1.038655,-0.114980,-0.014234,0.435495,-0.921442,0.088762,1.813540,0.114975,0.133899,2.416701
58,0.115000,0.921442,-0.088764,1.045366,-0.114975,-0.133899,0.442205,-0.921437,-0.030904,1.820251,0.114980,0.014232,2.423411,0.921437,0.030903,1.036419,-0.114980,-0.014233,0.433259,-0.921442,0.088762,1.811304,0.114975,0.133898,2.414465
59,0.117000,0.921442,-0.088764,1.043090,-0.114975,-0.133898,0.439930,-0.921437,-0.030904,1.817976,0.114980,0.014231,2.421136,0.921437,0.030902,1.034144,-0.114980,-0.014232,0.430984,-0.921442,0.088762,1.809030,0.114975,0.133897,2.412190
60,0.119000,0.921442,-0.088764,1.040777,-0.114975,-0.133898,0.437616,-0.921437,-0.030904,1.815663,0.114980,0.014230,2.418823,0.921437,0.030902,1.031830,-0.114980,-0.014231,0.428670,-0.921442,0.088762,1.806716,0.114975,0.133896,2.409876
61,0.121000,0.921442,-0.088764,1.038424,-0.114976,-0.133897,0.435264,-0.921437,-0.030904,1.813311,0.114980,0.014229,2.416471,0.921437,0.030902,1.029478,-0.114980,-0.014231,0.426318,-0.921442,0.088762,1.804364,0.114976,0.133895,2.407524
62,0.123000,0.921442,-0.088764,1.036033,-0.114976,-0.133896,0.432873,-0.921437,-0.030904,1.810920,0.114981,0.014228,2.414080,0.921437,0.030902,1.027087,-0.114981,-0.014230,0.423927,-0.921442,0.088762,1.801974,0.114976,0.133894,2.405133
63,0.125000,0.921442,-0.088764,1.033603,-0.114976,-0.133895,0.430443,-0.921437,-0.030904,1.808491,0.114981,0.014227,2.411650,0.921437,0.030902,1.024657,-0.114981,-0.014229,0.421497,-0.921442,0.088762,1.799544,0.114976,0.133893,2.402704
64,0.127000,0.921441,-0.088764,1.031134,-0.114976,-0.133894,0.427975,-0.921437,-0.030904,1.806023,0.114981,0.014226,2.409182,0.921437,0.030902,1.022188,-0.114981,-0.014228,0.419029,-0.921441,0.088762,1.797077,0.114977,0.133892,2.400236
