Frame,Time,C5_pos_X,C6_pos_X,C7_pos_X,C8_pos_X,C5_pos_Y,C6_pos_Y,C7_pos_Y,C8_pos_Y,C5_pos_Z,C6_pos_Z,C7_pos_Z,C8_pos_Z
110,0.262800,1.036350,-0.000184,-0.000199,1.036335,-0.132217,-0.177507,-0.000005,0.045285,0.596857,-0.006092,-0.019399,0.583549
111,0.265200,1.036346,-0.000189,-0.000231,1.036305,-0.132146,-0.177762,-0.000264,0.045352,0.593770,-0.009151,-0.022508,0.580413
112,0.267600,1.036399,-0.000100,-0.000165,1.036333,-0.132100,-0.178018,-0.000523,0.045395,0.590898,-0.012064,-0.025469,0.577493
113,0.270000,1.036487,0.000025,-0.000041,1.036422,-0.132236,-0.178353,-0.000863,0.045255,0.588285,-0.014723,-0.028185,0.574823
114,0.272400,1.036591,0.000107,-0.000017,1.036466,-0.131981,-0.178681,-0.001196,0.045504,0.585663,-0.017264,-0.030797,0.572130
115,0.274800,1.036713,0.000210,0.000051,1.036553,-0.131900,-0.179029,-0.001549,0.045579,0.583310,-0.019551,-0.033151,0.569711
116,0.277200,1.036827,0.000316,0.000152,1.036662,-0.131958,-0.179330,-0.001855,0.045517,0.581204,-0.021624,-0.035287,0.567541
117,0.279600,1.036904,0.000367,0.000195,1.036732,-0.131991,-0.179631,-0.002162,0.045479,0.579331,-0.023431,-0.037163,0.565599
118,0.282000,1.036973,0.000416,0.000244,1.036802,-0.132060,-0.179920,-0.002456,0.045405,0.577708,-0.025001,-0.038798,0.563911
119,0.284400,1.037051,0.000472,0.000312,1.036892,-0.132205,-0.180208,-0.002748,0.045254,0.576260,-0.026400,-0.040260,0.562399
120,0.286800,1.037146,0.000517,0.000344,1.036972,-0.132204,-0.180529,-0.003075,0.045250,0.574984,-0.027566,-0.041499,0.561051
121,0.289200,1.037234,0.000546,0.000358,1.037046,-0.132166,-0.180792,-0.003344,0.045283,0.573972,-0.028452,-0.042452,0.559972
122,0.291600,1.037296,0.000545,0.000343,1.037093,-0.132104,-0.181007,-0.003564,0.045340,0.573288,-0.029006,-0.043065,0.559229
123,0.294000,1.037343,0.000529,0.000319,1.037133,-0.132067,-0.181200,-0.003761,0.045372,0.572837,-0.029329,-0.043445,0.558721
124,0.296400,1.037399,0.000531,0.000298,1.037166,-0.131919,-0.181383,-0.003949,0.045516,0.572624,-0.029421,-0.043598,0.558447
125,0.298800,1.037445,0.000526,0.000280,1.037198,-0.131818,-0.181560,-0.004130,0.045611,0.572606,-0.029329,-0.043567,0.558368
126,0.301200,1.037505,0.000558,0.000293,1.037239,-0.131650,-0.181705,-0.004281,0.045774,0.572832,-0.029030,-0.043329,0.558533
127,0.303600,1.037557,0.000594,0.000320,1.037283,-0.131536,-0.181823,-0.004403,0.045884,0.573265,-0.028547,-0.042901,0.558911
128,0.306000,1.037612,0.000646,0.000357,1.037322,-0.131362,-0.181970,-0.004555,0.046053,0.573943,-0.027839,-0.042259,0.559522
129,0.308400,1.037667,0.000708,0.000404,1.037363,-0.131173,-0.182052,-0.004642,0.046237,0.574759,-0.027011,-0.041488,0.560282
130,0.310800,1.037722,0.000761,0.000447,1.037408,-0.130999,-0.182125,-0.004719,0.046406,0.575673,-0.026072,-0.040604,0.561141
131,0.313200,1.037781,0.000805,0.000475,1.037450,-0.130783,-0.182201,-0.004800,0.046618,0.576660,-0.025036,-0.039626,0.562070
132,0.315600,1.037831,0.000828,0.000480,1.037483,-0.130559,-0.182254,-0.004858,0.046838,0.577681,-0.023943,-0.038586,0.563038
133,0.318000,1.037879,0.000850,0.000480,1.037509,-0.130290,-0.182276,-0.004884,0.047102,0.578765,-0.022790,-0.037482,0.564073
134,0.320400,1.037895,0.000839,0.000450,1.037506,-0.130039,-0.182304,-0.004916,0.047349,0.579915,-0.021569,-0.036312,0.565172
135,0.322800,1.037878,0.000790,0.000386,1.037475,-0.129794,-0.182285,-0.004901,0.047590,0.581100,-0.020309,-0.035094,0.566314
136,0.325200,1.037872,0.000772,0.000335,1.037434,-0.129425,-0.182268,-0.004888,0.047955,0.582347,-0.019012,-0.033844,0.567515
137,0.327600,1.037835,0.000717,0.000272,1.037389,-0.129196,-0.182249,-0.004873,0.048180,0.583613,-0.017696,-0.032578,0.568732
138,0.330000,1.037811,0.000696,0.000231,1.037346,-0.128893,-0.182212,-0.004840,0.048479,0.584869,-0.016420,-0.031347,0.569943
139,0.332400,1.037792,0.000690,0.000200,1.037302,-0.128563,-0.182192,-0.004823,0.048805,0.586108,-0.015177,-0.030151,0.571134
140,0.334800,1.037769,0.000691,0.000184,1.037262,-0.128292,-0.182190,-0.004826,0.049072,0.587332,-0.013969,-0.028993,0.572309
141,0.337200,1.037753,0.000712,0.000182,1.037223,-0.127982,-0.182179,-0.004819,0.049379,0.588550,-0.012789,-0.027860,0.573479
142,0.339600,1.037736,0.000733,0.000172,1.037175,-0.127618,-0.182158,-0.004802,0.049738,0.589728,-0.011645,-0.026763,0.574610
143,0.342000,1.037719,0.000743,0.000154,1.037130,-0.127271,-0.182143,-0.004792,0.050080,0.590841,-0.010549,-0.025715,0.575675
144,0.344400,1.037706,0.000750,0.000134,1.037091,-0.126936,-0.182115,-0.004767,0.050412,0.591896,-0.009499,-0.024710,0.576685
145,0.346800,1.037691,0.000741,0.000097,1.037047,-0.126588,-0.182094,-0.004750,0.050756,0.592890,-0.008487,-0.023745,0.577632
146,0.349200,1.037654,0.000698,0.000027,1.036983,-0.126251,-0.182074,-0.004734,0.051089,0.593831,-0.007507,-0.022812,0.578526
147,0.351600,1.037602,0.000639,-0.000060,1.036903,-0.125906,-0.182050,-0.004714,0.051429,0.594741,-0.006554,-0.021905,0.579390
148,0.354000,1.037537,0.000569,-0.000159,1.036810,-0.125562,-0.182023,-0.004692,0.051769,0.595632,-0.005624,-0.021021,0.580235
149,0.356400,1.037470,0.000500,-0.000253,1.036718,-0.125233,-0.181996,-0.004669,0.052094,0.596501,-0.004723,-0.020168,0.581057
150,0.358800,1.037399,0.000424,-0.000352,1.036623,-0.124908,-0.181968,-0.004645,0.052415,0.597323,-0.003864,-0.019356,0.581831
151,0.361200,1.037328,0.000351,-0.000451,1.036525,-0.124566,-0.181943,-0.004624,0.052753,0.598101,-0.003053,-0.018593,0.582561
152,0.363600,1.037261,0.000287,-0.000543,1.036431,-0.124225,-0.181924,-0.004610,0.053089,0.598844,-0.002285,-0.017874,0.583255
153,0.366000,1.037198,0.000226,-0.000629,1.036343,-0.123893,-0.181901,-0.004592,0.053417,0.599551,-0.001551,-0.017188,0.583914
154,0.368400,1.037143,0.000178,-0.000702,1.036264,-0.123549,-0.181862,-0.004557,0.053757,0.600235,-0.000849,-0.016533,0.584552
155,0.370800,1.037097,0.000141,-0.000765,1.036191,-0.123207,-0.181835,-0.004534,0.054095,0.600894,-0.000176,-0.015908,0.585162
156,0.373200,1.037047,0.000098,-0.000831,1.036118,-0.122881,-0.181810,-0.004513,0.054415,0.601516,0.000464,-0.015315,0.585737
157,0.375600,1.036997,0.000053,-0.000900,1.036044,-0.122549,-0.181774,-0.004481,0.054743,0.602103,0.001071,-0.014755,0.586277
158,0.378000,1.036945,0.000007,-0.000971,1.035968,-0.122209,-0.181738,-0.004450,0.055079,0.602653,0.001642,-0.014231,0.586780
159,0.380400,1.036904,-0.000032,-0.001035,1.035902,-0.121874,-0.181714,-0.004431,0.055409,0.603159,0.002175,-0.013747,0.587237
160,0.382800,1.036872,-0.000064,-0.001091,1.035845,-0.121544,-0.181688,-0.004409,0.055735,0.603625,0.002670,-0.013300,0.587655
161,0.385200,1.036842,-0.000086,-0.001137,1.035791,-0.121216,-0.181659,-0.004385,0.056059,0.604075,0.003137,-0.012879,0.588058
162,0.387600,1.036810,-0.000110,-0.001185,1.035735,-0.120893,-0.181640,-0.004369,0.056377,0.604497,0.003575,-0.012491,0.588431
163,0.390000,1.036779,-0.000127,-0.001225,1.035682,-0.120571,-0.181618,-0.004352,0.056695,0.604893,0.003979,-0.012135,0.588779
164,0.392400,1.036754,-0.000133,-0.001253,1.035633,-0.120254,-0.181596,-0.004335,0.057007,0.605281,0.004362,-0.011800,0.589119
165,0.394800,1.036733,-0.000132,-0.001275,1.035590,-0.119939,-0.181582,-0.004326,0.057318,0.605657,0.004732,-0.011480,0.589445
166,0.397200,1.036721,-0.000124,-0.001291,1.035554,-0.119617,-0.181574,-0.004322,0.057635,0.606016,0.005089,-0.011173,0.589754
167,0.399600,1.036719,-0.000103,-0.001297,1.035525,-0.119273,-0.181566,-0.004319,0.057974,0.606371,0.005439,-0.010875,0.590058
168,0.402000,1.036717,-0.000082,-0.001301,1.035497,-0.118940,-0.181562,-0.004320,0.058302,0.606714,0.005775,-0.010591,0.590348
169,0.404400,1.036717,-0.000064,-0.001310,1.035471,-0.118600,-0.181554,-0.004317,0.058637,0.607027,0.006092,-0.010326,0.590609
170,0.406800,1.036714,-0.000058,-0.001328,1.035443,-0.118269,-0.181545,-0.004314,0.058963,0.607307,0.006390,-0.010080,0.590837
171,0.409200,1.036708,-0.000057,-0.001354,1.035412,-0.117930,-0.181534,-0.004307,0.059297,0.607557,0.006664,-0.009859,0.591034
172,0.411600,1.036703,-0.000064,-0.001384,1.035383,-0.117602,-0.181519,-0.004297,0.059620,0.607767,0.006910,-0.009664,0.591192
173,0.414000,1.036698,-0.000081,-0.001425,1.035354,-0.117275,-0.181509,-0.004293,0.059942,0.607933,0.007130,-0.009498,0.591305
174,0.416400,1.036698,-0.000093,-0.001463,1.035329,-0.116946,-0.181505,-0.004294,0.060266,0.608069,0.007323,-0.009358,0.591388
175,0.418800,1.036698,-0.000107,-0.001501,1.035303,-0.116616,-0.181502,-0.004296,0.060590,0.608179,0.007491,-0.009244,0.591444
176,0.421200,1.036698,-0.000117,-0.001536,1.035279,-0.116289,-0.181496,-0.004295,0.060912,0.608266,0.007629,-0.009159,0.591478
177,0.423600,1.036703,-0.000112,-0.001556,1.035259,-0.115960,-0.181498,-0.004302,0.061236,0.608341,0.007742,-0.009101,0.591498
178,0.426000,1.036713,-0.000092,-0.001562,1.035243,-0.115628,-0.181504,-0.004314,0.061562,0.608409,0.007830,-0.009068,0.591511
179,0.428400,1.036731,-0.000060,-0.001554,1.035236,-0.115300,-0.181504,-0.004319,0.061884,0.608460,0.007891,-0.009061,0.591508
180,0.430800,1.036753,-0.000020,-0.001538,1.035235,-0.114979,-0.181505,-0.004325,0.062200,0.608489,0.007927,-0.009079,0.591483
181,0.433200,1.036777,0.000021,-0.001521,1.035235,-0.114659,-0.181513,-0.004340,0.062514,0.608494,0.007938,-0.009123,0.591433
182,0.435600,1.036798,0.000058,-0.001507,1.035233,-0.114340,-0.181524,-0.004355,0.062828,0.608472,0.007925,-0.009192,0.591354
183,0.438000,1.036820,0.000096,-0.001492,1.035232,-0.114026,-0.181535,-0.004373,0.063136,0.608420,0.007882,-0.009292,0.591246
184,0.440400,1.036842,0.000135,-0.001475,1.035233,-0.113723,-0.181551,-0.004394,0.063434,0.608344,0.007814,-0.009417,0.591113
185,0.442800,1.036865,0.000172,-0.001459,1.035234,-0.113424,-0.181567,-0.004416,0.063728,0.608237,0.007717,-0.009570,0.590950
186,0.445200,1.036885,0.000207,-0.001445,1.035234,-0.113126,-0.181586,-0.004440,0.064019,0.608104,0.007596,-0.009749,0.590760
187,0.447600,1.036906,0.000240,-0.001431,1.035235,-0.112836,-0.181609,-0.004470,0.064303,0.607946,0.007451,-0.009952,0.590544
